Class,Accuracy,SampleCount
A,99.5562130177515,676
B,99.5588235294118,680
C,99.8520710059172,676
D,99.1137370753324,677
E,97.4702380952381,672
F,99.7032640949555,674
G,100,679
H,98.8148148148148,675
I,99.261447562777,677
J,99.84,625
K,99.4108983799705,679
L,100,677
M,95.4277286135693,678
N,97.8005865102639,682
O,99.1097922848665,674
P,99.405646359584,673
Q,99.5522388059701,670
R,99.5535714285714,672
S,97.9289940828402,676
T,99.4074074074074,675
U,98.2116244411326,671
V,97.7777777777778,675
W,98.8148148148148,675
X,99.2625368731563,678
Y,98.3847283406755,681
Z,100,623
