Class,Precision,Recall,F1_Score
A,100,99.3865030674847,99.6923076923077
B,99.4152046783626,100,99.7067448680352
C,99.4011976047904,100,99.6996996996997
D,100,100,100
E,100,100,100
F,100,100,100
G,100,100,100
H,100,100,100
I,99.4047619047619,99.4047619047619,99.4047619047619
J,100,100,100
K,100,100,100
L,100,100,100
M,97.8609625668449,100,98.9189189189189
N,100,99.4594594594595,99.7289972899729
O,100,99.3939393939394,99.6960486322188
P,100,100,100
Q,99.3827160493827,100,99.6904024767802
R,99.4186046511628,99.4186046511628,99.4186046511628
S,98.2954545454545,98.2954545454545,98.2954545454545
T,97.7401129943503,97.1910112359551,97.4647887323944
U,99.4082840236686,100,99.7032640949555
V,98.8439306358381,98.8439306358381,98.8439306358381
W,99.3865030674847,98.1818181818182,98.780487804878
X,100,98.8304093567251,99.4117647058823
Y,99.438202247191,99.438202247191,99.438202247191
Z,100,100,100
