Class,Precision,Recall,F1_Score
A,99.390243902439,100,99.6941896024465
B,98.8235294117647,98.8235294117647,98.8235294117647
C,100,100,100
D,99.4011976047904,99.4011976047904,99.4011976047904
E,97.1590909090909,100,98.5590778097983
F,99.3939393939394,100,99.6960486322188
G,98.8700564971751,100,99.4318181818182
H,100,98.7951807228916,99.3939393939394
I,98.2352941176471,99.4047619047619,98.8165680473373
J,100,100,100
K,99.4219653179191,98.2857142857143,98.8505747126437
L,99.4047619047619,100,99.7014925373134
M,98.3783783783784,99.4535519125683,98.9130434782609
N,98.3957219251337,99.4594594594595,98.9247311827957
O,99.3939393939394,99.3939393939394,99.3939393939394
P,99.3865030674847,99.3865030674847,99.3865030674847
Q,100,100,100
R,100,99.4186046511628,99.7084548104956
S,98.8304093567251,96.0227272727273,97.4063400576369
T,99.4285714285714,97.752808988764,98.5835694050992
U,99.4011976047904,98.8095238095238,99.1044776119403
V,97.1751412429379,99.4219653179191,98.2857142857143
W,99.3788819875776,96.969696969697,98.159509202454
X,99.4186046511628,100,99.7084548104956
Y,99.4285714285714,97.752808988764,98.5835694050992
Z,100,100,100
