Class,Precision,Recall,F1_Score
A,98.3695652173913,98.9071038251366,98.6376021798365
B,100,98.9417989417989,99.468085106383
C,100,100,100
D,99.4565217391304,98.9189189189189,99.1869918699187
E,96.9230769230769,99.4736842105263,98.1818181818182
F,99.4535519125683,98.9130434782609,99.1825613079019
G,100,100,100
H,99.4652406417112,100,99.7319034852547
I,99.4623655913979,98.9304812834225,99.1957104557641
J,100,100,100
K,99.4871794871795,100,99.7429305912596
L,100,99.4623655913979,99.7304582210243
M,99.009900990099,99.009900990099,99.009900990099
N,100,98.5294117647059,99.2592592592593
O,100,100,100
P,100,100,100
Q,100,100,100
R,99.4764397905759,99.4764397905759,99.4764397905759
S,98.9583333333333,97.4358974358974,98.1912144702842
T,98.4848484848485,98.9847715736041,98.7341772151899
U,100,97.8609625668449,98.9189189189189
V,97.9591836734694,100,98.9690721649485
W,99.4505494505495,98.3695652173913,98.9071038251366
X,97.4226804123711,100,98.6945169712794
Y,98.989898989899,98.989898989899,98.989898989899
Z,100,100,100
